COVID-19 Vaccinations in the United States
Date generated: Thu May 27 2021 15:39:15 GMT-0700 (Pacific Daylight Time)
State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop
Florida,23318515,108571,135197,18442633,85869,18140459,105175,10390827,48.4,10164235,58.9,8205341,38.2,8133226,47.2,12165075,9522240,1631200,0,777865,7803176,9826876,34716,3300319,4127118,766635,11269,3299508,4056212,766244,11262,7438706,48.4,10164235,58.9,34.6,7366982,42.7,10390827,3936440,87.5,3339282,74.3,1668020,1505070,157907,8285,7559137,168080,518496,10384387,55.5,8204514,43.9,3299741,4127045,766459,11269,18435463,98606,124724
Federated States of Micronesia,77800,75065,96237,42765,41262,42737,52865,24893,24,24867,30.8,19662,19,19654,24.3,0,67600,10200,0,1884,40881,0,0,17760,34,1868,0,17756,34,1864,0,17794,24,24867,30.8,17.2,17790,22,24893,2116,12,1845,10.5,1625,5,215,0,3733,21187,441569,24884,28.1,19658,22.2,17759,34,1865,0,42755,48306,87901
Georgia,10618245,100008,130871,7410254,69793,7272744,89637,4142634,39,4042706,49.8,3295633,31,3257584,40.1,5531565,4497380,589300,0,191639,3322645,3895353,617,1447062,1659823,188395,353,1446686,1622403,188152,343,3107238,39,4042706,49.8,29.3,3069432,37.8,4142634,1195365,78.8,1027307,67.7,576729,426287,24119,172,2294204,151238,699971,4141193,46.1,3295449,36.7,1447025,1659761,188310,353,7408725,82428,118137
Guam,207370,125097,160380,155385,93736,149753,115819,86996,52.5,83452,64.5,70177,42.3,68088,52.7,122070,74200,11100,0,2596,60328,92461,0,25096,42478,2603,0,25090,40395,2603,0,67574,52.5,83452,64.5,40.8,65485,50.6,86996,14356,50.9,12696,45.1,5357,7155,184,0,27031,95919,735850,86988,61.4,70176,49.6,25095,42478,2603,0,155376,109758,146487
Hawaii,1810580,127877,162238,1565795,110589,1512956,135569,928545,65.6,885271,79.3,667016,47.1,656708,58.8,1016340,713440,80800,0,31216,559755,881064,93760,237915,379518,31511,18072,237500,369746,31407,18055,635505,65.6,885271,79.3,44.9,625301,56,928545,262732,97.9,218968,81.6,91573,118594,7392,1409,474594,176792,674462,925965,76.5,666856,55.1,237872,379439,31484,18061,1563764,129118,149498
Iowa,3242665,102776,133540,2808476,89015,2739313,112811,1537535,48.7,1485906,61.2,1360138,43.1,1343191,55.3,1679145,1381720,181800,0,111699,1234688,1461967,122,587540,662996,109532,70,587438,646204,109479,70,1250606,48.7,1485906,61.2,39.6,1233712,50.8,1537535,482437,87.2,458702,83,246044,202789,9821,48,936753,169409,586426,1537496,57.4,1360127,50.8,587534,662993,109530,70,2808458,104939,121163
Idaho,1590575,89005,118800,1223895,68486,1223765,91403,665155,37.2,664680,49.6,577568,32.3,577472,43.1,816855,674620,99100,0,39927,538060,645217,691,243603,293936,39822,207,243594,293862,39810,206,537746,37.2,664680,49.6,30.1,537662,40.2,665155,229073,78.8,213018,73.3,99593,105214,8127,84,440212,151447,547210,665138,44.5,577557,38.6,243601,293934,39815,207,1223874,81842,106364
Indian Health Svc,1727575,82944,N/A,1360203,65306,1311690,N/A,764223,36.7,731431,N/A,610424,29.3,594758,N/A,738075,915300,74200,0,22388,750673,587142,0,329190,259012,22222,0,328991,243580,22187,0,588202,36.7,731431,N/A,28.2,572571,0,764223,147921,0,122214,0,70526,49320,2368,0,270793,0,0,763945,0,610307,0,329125,258972,22210,0,1359788,0,0
Illinois,13891395,109624,140973,11454543,90394,11083721,112480,6844212,54,6554868,66.5,4978526,39.3,4889437,49.6,7471815,5596780,822800,0,383131,4709325,6354687,7400,1960761,2631634,383643,2488,1956571,2548446,381946,2474,4594883,54,6554868,66.5,36.3,4507491,45.7,6844212,1789512,87.6,1437335,70.3,665828,712701,57385,1421,3181048,155687,679874,6833376,63.1,4978437,45.9,1960722,2631607,383620,2488,11443595,105590,128175
Indiana,6323400,93927,122446,5028975,74700,4917034,95213,2776436,41.2,2695556,52.2,2342184,34.8,2315294,44.8,3379740,2525360,418300,0,168580,2051210,2797143,12042,933272,1238786,166196,3930,933134,1212141,166092,3927,2175988,41.2,2695556,52.2,32.3,2149202,41.6,2776436,876861,80.8,827107,76.2,412884,391333,20593,2297,1714242,157887,582403,2776279,48.7,2342151,41.1,933263,1238776,166182,3930,5028819,88147,110839
Kansas,2940885,100946,132887,2298485,78896,2252775,101794,1349850,46.3,1313049,59.3,1104499,37.9,1090796,49.3,1475565,1295920,169400,0,71896,1036932,1189030,627,478686,553794,71805,214,478561,540271,71751,213,1032694,46.3,1313049,59.3,35.4,1019045,46,1349850,428783,90.2,363880,76.5,177330,173405,13025,120,762325,160325,618500,1349752,55.1,1104481,45,478679,553788,71800,214,2298379,93746,119953
Kentucky,4276365,95718,123423,3603240,80651,3527987,101824,2048735,45.9,1991735,57.5,1694560,37.9,1676424,48.4,2158065,1860400,257900,0,140227,1606435,1856152,426,721229,835683,137256,392,721126,817720,137188,390,1557304,45.9,1991735,57.5,34.9,1539236,44.4,2048735,627486,83.6,557202,74.2,254270,272337,30357,238,1140416,151941,569754,2048451,53.8,1694528,44.5,721222,835675,137239,392,3602244,94642,112354
Louisiana,3873960,83333,108784,3048106,65568,3010788,84545,1644916,35.4,1618533,45.4,1432609,30.8,1421961,39.9,1950000,1686860,237100,0,105067,1427201,1514790,1048,644522,687224,100340,523,644347,676834,100260,520,1332269,35.4,1618533,45.4,28.7,1321701,37.1,1644916,567487,76.6,532773,71.9,255667,259807,17189,110,1107113,149404,522786,1644808,41.9,1432579,36.5,644515,687217,100324,523,3047980,77689,98742
Massachusetts,9114660,132240,164533,7849273,113881,7579284,136818,4508487,65.4,4304811,77.7,3566470,51.7,3498873,63.2,4978740,3703420,432500,0,255694,3215958,4377484,137,1392437,1917380,256619,34,1389566,1853509,255766,32,3309851,65.4,4304811,77.7,48,3243107,58.5,4508487,1103507,94.4,967243,82.7,440161,466836,60231,15,2010572,171942,779476,4501238,74.8,3566440,59.3,1392430,1917362,256614,34,7842015,130337,151488
Maryland,7753840,128254,164590,6030957,99756,5823668,123619,3424693,56.6,3268131,69.4,2835588,46.9,2786177,59.1,4233060,3088380,432400,0,233266,2455797,3337233,4661,1115552,1492433,226257,1346,1115343,1443342,226153,1339,2609331,56.6,3268131,69.4,43.2,2560024,54.3,3424693,846963,88.3,776942,81,379161,352126,45166,489,1568554,163494,808200,3424432,66.3,2835526,54.9,1115527,1492416,226237,1346,6030717,116809,150184
Maine,1751500,130299,159900,1462994,108837,1420321,129666,841213,62.6,807787,73.7,720554,53.6,711344,64.9,892320,759880,99300,0,93946,634137,734643,268,291720,335919,92841,74,291684,326786,92805,69,627713,62.6,807787,73.7,46.7,618539,56.5,841213,265928,93.2,249799,87.6,114049,115581,20147,22,493998,173172,613991,841135,71,720531,60.8,291717,335916,92824,74,1462910,123459,147814
Marshall Islands,51300,87823,112594,29738,50910,29671,65122,16062,27.5,16014,35.1,13787,23.6,13766,30.2,0,40500,10800,0,138,29600,0,0,13637,8,142,0,13617,7,142,0,13645,27.5,16014,35.1,23.4,13624,29.9,16062,967,9.7,827,8.3,817,0,10,0,1783,17956,516616,16046,32.2,13780,27.6,13630,8,142,0,29715,59568,102839
Michigan,11133270,111479,141953,8570263,85815,8337817,106310,4813250,48.2,4641362,59.2,4134551,41.4,4072562,51.9,5859750,4640820,632700,0,288085,3594338,4686531,1309,1670676,2170102,293182,591,1670298,2108644,293032,588,3841369,48.2,4641362,59.2,38.5,3779530,48.2,4813250,1460231,82.7,1361641,77.1,682970,623028,55246,397,2740942,155259,630637,4813018,56,4134502,48.1,1670656,2170086,293170,590,8570007,99709,129532
Minnesota,6195750,109861,142875,5331457,94536,5150768,118778,3030092,53.7,2897924,66.8,2548636,45.2,2500210,57.7,3371550,2489300,334900,0,232701,2161450,2936984,322,985754,1328141,234640,101,984630,1281114,234367,99,2313996,53.7,2897924,66.8,41,2265843,52.3,3030092,827725,89.9,766880,83.3,323863,400960,42029,28,1539341,167250,673172,3024396,63.3,2548588,53.3,985744,1328121,234622,101,5325662,111460,129670
Missouri,5839015,95138,122492,4626406,75380,4529010,95011,2564193,41.8,2493780,52.3,2083257,33.9,2060979,43.2,3127995,2405620,305400,0,145123,1805207,2675695,381,798590,1138953,145650,64,798400,1116994,145524,61,1937607,41.8,2493780,52.3,31.6,1915455,40.2,2564193,832805,78.4,734589,69.2,336167,369795,28599,28,1578166,148598,549794,2563932,49,2083230,39.8,798581,1138946,145639,64,4626126,88357,111523
Northern Mariana Islands,72330,127158,163023,47589,83663,45840,103318,25693,45.2,24466,55.1,22166,39,21644,48.8,49530,20200,2600,0,256,6687,40646,0,2889,19016,261,0,2889,18494,261,0,21905,45.2,24466,55.1,38.5,21383,48.2,25693,2590,26.8,2449,25.3,390,2007,52,0,4988,51582,747983,25693,52.9,22166,45.6,2889,19016,261,0,47589,97968,148901
Mississippi,2575215,86528,113069,1756662,59025,1739863,76391,1003507,33.7,991109,43.5,801053,26.9,796425,35,1273155,1140660,161400,0,50597,832181,872995,889,371028,380375,49620,30,370918,375897,49580,30,751433,33.7,991109,43.5,25.2,746845,32.8,1003507,363243,74.6,315539,64.8,167506,134788,13234,11,660595,135731,529125,1003439,39.8,801036,31.8,371024,380369,49613,30,1756591,69667,102133
Montana,1077725,100837,128272,858711,80345,840352,100019,478848,44.8,465366,55.4,404573,37.9,399776,47.6,529425,479400,68900,0,30216,396859,431372,264,181423,193557,29515,78,181352,188847,29499,78,375058,44.8,465366,55.4,35.1,370277,44.1,478848,166033,80.4,151391,73.3,73370,71316,6662,43,310297,150311,522060,478782,52.2,404556,44.1,181410,193556,29512,78,858623,93573,117451
North Carolina,11151510,106326,136204,8063696,76884,7866714,96084,4506606,43,4364516,53.3,3739440,35.7,3684649,45,5917470,4602640,631400,0,270806,3302506,4490055,329,1460139,2011441,267824,36,1458095,1959678,266840,36,3471616,43,4364516,53.3,33.1,3417809,41.7,4506606,1379242,78.8,1241872,70.9,583286,629072,29489,25,2639773,150750,636831,4501906,50.1,3738832,41.6,1460057,2010931,267808,36,8058398,89682,124105
North Dakota,684070,89766,117560,608339,79828,596731,102550,318312,41.8,311044,53.5,275726,36.2,272414,46.8,344370,304000,35700,0,25168,265034,318137,0,116648,136758,22319,1,116505,133679,22229,1,253407,41.8,311044,53.5,33.3,250185,43,318312,98690,82.3,87475,73,43345,40973,3157,0,191250,159581,570796,318040,49.9,275717,43.3,116644,136755,22317,1,608033,95416,107348
Nebraska,1974960,102096,135426,1678518,86772,1635548,112152,925465,47.8,894314,61.3,806604,41.7,794586,54.5,1074840,794420,105700,0,60478,683884,931127,3029,315645,429320,60761,878,315557,417433,60722,874,745843,47.8,894314,61.3,38.6,733864,50.3,925465,269033,86.1,250772,80.3,121590,123868,4702,612,523499,167542,632072,925283,57.2,806560,49.9,315628,429306,60748,878,1678291,103764,122106
New Hampshire,1708275,125635,154671,1375987,101197,1329812,120404,808398,59.5,774621,70.1,652539,48,642125,58.1,895635,700340,112300,0,51951,590903,733120,13,272543,326740,53237,19,272347,316551,53208,19,599302,59.5,774621,70.1,44.1,588917,53.3,808398,232406,91.5,203470,80.1,88357,102639,12460,14,408815,161037,672910,808001,67.4,652388,54.4,272452,326688,53229,19,1375435,114756,142526
New Jersey,10791275,121493,155413,8944596,100703,8684843,125077,5269286,59.3,5072083,73,4256025,47.9,4191210,60.4,5732415,4463660,595200,0,345691,3798158,4800272,475,1705463,2202223,348302,37,1705198,2137825,348155,32,3907723,59.3,5072083,73,44,3843055,55.3,5269286,1323503,89.7,1169376,79.3,551467,541956,75937,16,2369925,160615,731347,5268739,69.2,4255955,55.9,1705449,2202210,348259,37,8944053,117401,141648
New Mexico,2261775,107866,139530,2115055,100869,2049928,126461,1193507,56.9,1143947,70.6,985346,47,966221,59.6,1142895,982380,136500,0,61340,941591,1109268,2856,413704,510567,60244,831,413449,491793,60150,829,925102,56.9,1143947,70.6,44.1,906071,55.9,1193507,339520,89.9,300610,79.6,137837,147309,14978,486,621492,164587,598978,1193383,66.8,985314,55.1,413690,510556,60237,831,2114919,118322,126538
Nevada,2836050,92075,118787,2465315,80039,2416666,101221,1381074,44.8,1346445,56.4,1112760,36.1,1100560,46.1,1494090,1164960,177000,0,100722,1019767,1344826,0,449438,564386,98929,7,449378,552276,98899,7,1013831,44.8,1346445,56.4,32.9,1001661,42,1381074,394569,79.6,346393,69.8,166433,161587,18369,4,741835,149572,571817,1381033,52.7,1112753,42.4,449435,564384,98927,7,2465281,94030,108172
New York State,22395305,115122,145186,19238158,98893,18769678,121681,10667650,54.8,10318600,66.9,8928854,45.9,8807177,57.1,11864385,9311620,1219300,0,801948,8008100,10424068,4042,3566119,4604626,757281,828,3565350,4484150,756868,809,8171573,54.8,10318600,66.9,42,8050309,52.2,10667650,2733157,82.9,2447701,74.3,1182031,1122792,142438,440,5102572,154804,679439,10666627,63.6,8928520,53.2,3566002,4604518,757186,814,19236917,114688,133518
Ohio,11846795,101349,130026,9771216,83593,9531150,104611,5294933,45.3,5123958,56.2,4631720,39.6,4565549,50.1,6227715,4978280,640800,0,378887,4111227,5270844,10258,1866466,2396470,365673,3111,1866230,2330685,365540,3094,4266047,45.3,5123958,56.2,36.5,4200009,46.1,5294933,1675167,81.9,1570235,76.7,718441,779445,70620,1729,3236733,158173,578932,5294752,52.9,4631687,46.3,1866457,2396459,365660,3111,9771037,97704,118460
Oklahoma,3900695,98578,129818,2931855,74093,2881286,95892,1631362,41.2,1596482,53.1,1321137,33.4,1306198,43.5,1983735,1699760,217200,0,83543,1368589,1479674,49,598500,640281,82330,26,598339,625547,82286,26,1238807,41.2,1596482,53.1,31.3,1223912,40.7,1631362,517831,81.5,443495,69.8,234396,194452,14638,9,956875,150658,614155,1631231,49.1,1321107,39.7,598487,640272,82322,26,2931701,88166,117306
Oregon,5168665,122546,154234,3962890,93958,3837427,114510,2273769,53.9,2175936,64.9,1841255,43.7,1812677,54.1,2672085,2194480,302100,0,140217,1624019,2196497,2157,727063,974398,139382,412,725522,947863,138887,405,1701873,53.9,2175936,64.9,40.4,1673790,49.9,2273769,642765,83.9,592968,77.4,270217,283018,39524,209,1189971,155332,674690,2269761,62.2,1841245,50.5,727061,974391,139381,412,3958837,108528,141694
Pennsylvania,14871305,116164,146265,12369985,96625,12084399,118855,7368901,57.6,7144947,70.3,5462969,42.7,5401811,53.1,7504965,6329540,1036800,0,461593,5252588,6655478,326,2190828,2805730,466154,257,2189886,2745756,465920,249,4996815,57.6,7144947,70.3,39,4935891,48.5,7368901,2343488,97.9,1844792,77.1,870715,909563,64375,139,4143531,173126,621356,7367369,66.5,5462592,49.3,2190718,2805500,466117,257,12368116,111610,134199
Puerto Rico,3846250,120433,146749,2631756,82405,2559409,97651,1589075,49.8,1531025,58.4,1145271,35.9,1129243,43.1,1974570,1681380,190300,0,80573,1085971,1464920,292,436993,627513,80744,21,436867,611711,80644,21,1064527,49.8,1531025,58.4,33.3,1048599,40,1589075,437508,80.6,359375,66.2,167279,178685,13408,3,780053,143675,708427,1588529,58.2,1145180,42,436978,627471,80710,21,2631152,96473,141025
Rhode Island,1453025,137161,169971,1141962,107797,1106391,129423,636602,60.1,609778,71.3,536009,50.6,527919,61.8,800865,590660,61500,0,43041,464746,634138,37,211465,281589,42945,10,211433,273548,42928,10,493064,60.1,609778,71.3,46.5,484991,56.7,636602,175056,93.6,163380,87.3,75035,82936,5405,4,334549,178859,776828,636538,68.6,536002,57.8,211461,281587,42944,10,1141898,123117,156662
Republic of Palau,24600,137376,176129,23549,131507,23549,168605,13166,73.5,13165,94.3,11965,66.8,11965,85.7,0,20800,3800,0,1397,22151,1,0,10549,20,1396,0,10549,20,1396,0,10569,73.5,13165,94.3,59,10569,75.7,13166,1627,53.4,1577,51.8,1411,8,158,0,3004,98686,808147,13166,86.1,11965,78.2,10549,20,1396,0,23549,153996,160868
South Carolina,5035455,97800,124716,3723594,72321,3657726,90593,2081495,40.4,2034048,50.4,1710606,33.2,1691703,41.9,2579655,2148300,307500,0,124207,1522034,2076292,1061,655855,933162,121379,210,654848,915586,121059,210,1589227,40.4,2034048,50.4,30.9,1570644,38.9,2081495,770191,82.2,669698,71.5,282436,365449,21667,146,1422117,151770,537389,2079053,47,1710113,38.7,655785,932765,121353,210,3720664,84178,113925
South Dakota,934195,105599,139942,770321,87075,754246,112986,423235,47.8,411647,61.7,372526,42.1,368004,55.1,455715,420780,57700,0,22338,347981,399989,13,165084,184873,22556,13,165046,180398,22547,13,349970,47.8,411647,61.7,39.6,345457,51.7,423235,137027,90.2,127544,84,66000,58266,3271,7,257741,169710,615124,423217,57.3,372523,50.5,165083,184871,22556,13,770301,104363,126567
Tennessee,5996960,87814,112743,4790132,70142,4711023,88568,2647639,38.8,2589799,48.7,2139212,31.3,2118984,39.8,3126240,2508020,362700,0,136976,2018030,2626600,8526,875473,1127882,133339,2518,875237,1108033,133202,2512,2005873,38.8,2589799,48.7,29.4,1985782,37.3,2647639,875610,76.6,767834,67.2,388764,353408,24077,1585,1672676,146291,524488,2647204,45.4,2139128,36.7,875459,1127846,133305,2518,4789622,82076,102766
Texas,29971935,103366,138784,22593372,77919,21952712,101651,12625469,43.5,12174740,56.4,10088586,34.8,9796087,45.4,15916875,12209460,1845600,0,840126,9621335,12131079,832,4164620,5101630,821678,658,4043875,4953718,797855,639,9269810,43.5,12174740,56.4,32,9116859,42.2,12625469,3003600,80.4,2592767,69.4,1070307,1311119,211171,169,5670908,151863,802627,12621682,52.4,10086569,41.9,4163787,5100610,821514,658,22588924,93726,124359
